Domain,Dashboard Page,Indicator,Dict Frequency (desired),Data Frequency (actual),Dict Granularity (desired),Data Granularity (actual),Canonical Formula,Status,Correction / Note
Access & Coverage,Access & Coverage,Water access ladder (surface/unimproved/limited/basic/safely managed),Annual,Annual,Zone,Zone,Population at each JMP level / total population x 100,OK,Population-weight when rolling zones up to city/country (do not average percentages).
Access & Coverage,Access & Coverage,Sanitation access ladder (open def/unimproved/limited/basic/safely managed),Annual,Annual,Zone,Zone,Population at each JMP level / total population x 100,OK,Same population-weighting note as water ladder.
Access & Coverage,Access & Coverage,% water supply coverage,Quarterly,Annual,Zone,Zone,Households (or population/area) on municipal supply / total x 100,FREQUENCY GAP,municipal_coverage is ANNUAL; a Quarterly view is not possible. Remove the Quarterly radio for water coverage or compute quarterly only for sewer.
Access & Coverage,Access & Coverage,% increase in water supply coverage,Quarterly,Annual,Zone,Zone,(new coverage - old coverage)/old coverage x 100,FREQUENCY GAP,Annual data only; present as year-on-year growth.
Access & Coverage,Access & Coverage,% increase in piped water supply,Quarterly,MISSING,Zone,-,(new piped connections - old)/old x 100,DATA GAP,No piped-connection count collected. Shown as em-dash placeholder (correct).
Access & Coverage,Access & Coverage,% sewered connections,Quarterly,Monthly,Zone,Zone,Sewer connections / total households x 100,OK (proxy),Monthly data averaged to quarter - acceptable.
Access & Coverage,Access & Coverage,% Metered connections,Monthly,MISSING (only metered VOLUME),Zone,Zone,Active metered connections / total active connections x 100,DATA GAP,Data has metered VOLUME not connection COUNT. Page correctly shows em-dash. Could add '% metered volume' as a distinct proxy KPI.
Access & Coverage,Access & Coverage,Safely managed public toilets per person,Monthly,Monthly,Zone,Zone,Public toilets / population,NOT SURFACED,public_toilets exists monthly; add this KPI.
Access & Coverage,Access & Coverage,% Active Service Providers,Annual,Annual,City,City,Active providers / total providers x 100,PARTIAL,total_service_providers exists; 'active' count missing - surface licensing rate instead.
Production,Production,Non-Revenue Water,Monthly,Monthly (prod daily / billing monthly),Zone,Country (source for prod; customer for billing),(Volume produced - Volume billed)/Volume produced x 100,FORMULA FIXED,Use data.metrics.non_revenue_water (produced vs billed). Zone-level needs a source->DMA/zone lookup. NEVER use w_supplied vs total_consumption (yields ~ -125%).
Production,Production,Consumption per capita (l/c/d),Monthly,Monthly,Zone,Zone,Water consumed (litres) / population served / days,NOT BUILT,Add KPI using billing consumption + access popn_total (data.metrics.per_capita_consumption).
Production,Production,% total water recycled/reused,Monthly,Monthly,City,Zone,Wastewater reused / total water supplied x 100,AVAILABLE,ww_reused & w_supplied in service data (data.metrics.water_reuse_pct).
Production,Production,Wastewater collected and treated,Monthly,Monthly,City,Zone,Wastewater treated / wastewater collected x 100,AVAILABLE,ww_treated & ww_collected present (data.metrics.wastewater_treatment_pct).
Production,Production,% Utilisation of water treatment facilities,Monthly,MISSING (design capacity),City,-,Utilised capacity / design capacity,DATA GAP,Production page estimates capacity as max(production) x 1.1 - a heuristic. Label as estimated until design-capacity table is sourced.
Production,Production,Level of water stress,Annual,PARTIAL (renewable only),City,City,Withdrawals / renewable resources,DATA GAP,water_resources (renewable) exists but withdrawals do NOT. Cannot compute the ratio honestly; do not fabricate.
Service & Quality,Service & Quality,Water Quality,Monthly,Monthly,Zone,Zone,Mean(chlorine passed/conducted, ecoli passed/conducted) x 100,OK,data.metrics.water_quality_compliance.
Service & Quality,Service & Quality,% women in sanitation decision-making,Quarterly,Monthly,City,Zone,Women / total decision-making workforce x 100,ADDED,f_workforce & workforce present (data.metrics.women_in_decision_making). Previously shown as fabricated demo.
Service & Quality,Service & Quality,Continuity of supply,Monthly,Daily,City,Source,Hours/day water supplied,OK,service_hours in production data.
Service & Quality,Service & Quality,Staff efficiency,Monthly,Monthly,City,City,Staff per 1000 connections,FIXED,Use real san_staff/w_staff & sewer_connections. Previously hardcoded [150,120,...].
Service & Quality,Service & Quality,Staff trained (M/F),Annual,PARTIAL (no gender split),City,City,Count by gender,DATA GAP,trained_staff total exists; M/F split not collected. Keep flagged as demo.
Financial Health,Financial Health,Revenue collection efficiency,Monthly,Monthly,City,City (water=customer),(Water paid + Sewer revenue)/(Water billed + Sewer billed) x 100,UNIFIED,One definition in data.metrics.collection_efficiency. Finance page sewer-only KPI relabelled 'Sewer collection rate'.
Financial Health,Financial Health,Operating cost coverage,Monthly,Monthly,City,City,Total revenue / Operating expenditure x 100,DICTIONARY ERROR,Dictionary wrote (opex/revenue) which is inverted. Conventional = revenue/opex (>100% = cost-recovering). Code is correct; fix the dictionary.
Financial Health,Financial Health,Pro-poor financing,Monthly,Monthly,City,City,Population on pro-poor tariff / total population served x 100,OK,propoor_popn present.
Financial Health,Financial Health,% National budget allocated to water,Annual,Annual,City,City,Water allocation / total budget x 100,DICTIONARY ERROR,Data field wat_allocation is an ABSOLUTE currency amount (e.g. 19.4B), not a %. Dashboard derives the % correctly. Fix the dictionary description.
Financial Health,Financial Health,% National budget allocated to sanitation,Annual,Annual,City,City,Sanitation allocation / total budget x 100,DICTIONARY ERROR,san_allocation is ABSOLUTE currency, not %. Same fix as above.
Financial Health,Financial Health,Utility budget variance,Annual,Annual,City,City,(Actual expenditure / allocated) x 100,OK,budget_allocated annual; opex monthly - aggregate opex to year.
Financial Health,Financial Health,% Investment in human capital,Annual,Annual,City,City,Staff training budget / total WASH budget x 100,OK,staff_training_budget & budget_allocated present.
